labeled_object.ordinal,labeled_object.onset,labeled_object.offset,labeled_object.object,labeled_object.utterance_type,labeled_object.object_present,labeled_object.speaker,basic_level
134,1457974,1458585,e,r,y,MOT,E
135,1458586,1459208,E,r,y,MOT,E
136,1460074,1463110,F,r,y,MOT,F
137,1463111,1463898,f,r,y,MOT,F
138,1463899,1464291,F,r,y,MOT,F
139,1464292,1464726,f,r,y,MOT,F
140,1464727,1465190,F,r,y,MOT,F
142,1465268,1468764,feathers,r,y,MOT,feather
141,1465268,1468763,Fiffer+feffer+feff,r,y,MOT,Fiffer+feffer+feff
143,1469398,1469398,"%com: Character from Dr. Suess ABC Book,",NA,NA,NA,NA
144,1473288,1475158,A,r,y,MOT,A
145,1475159,1475598,B,r,y,MOT,B
146,1475599,1475936,C,r,y,MOT,C
147,1475937,1476063,D,r,y,MOT,D
148,1476063,1476349,E,r,y,MOT,E
149,1476350,1476652,F,r,y,MOT,F
150,1476653,1476942,G,r,y,MOT,G
151,1476942,1477369,goat,r,y,MOT,goat
152,1477370,1477728,girl,r,y,MOT,girl
153,1477729,1478767,googoo+goggles,r,y,MOT,googoo+goggles
154,1478768,1479144,G,r,y,MOT,G
155,1479145,1479629,g,r,y,MOT,G
156,1479630,1480152,G,r,y,MOT,G
157,1480153,1483779,G,r,y,MOT,G
158,1483780,1484593,h,r,y,MOT,H
159,1484594,1486496,horse,r,y,MOT,horse
160,1486497,1487240,hay,r,y,MOT,hay
161,1487241,1488913,hat,r,y,MOT,hat
162,1487241,1488914,hen,r,y,MOT,hen
163,1491138,1495136,I,r,y,MOT,I
164,1495137,1496003,i,r,y,MOT,I
165,1496004,1496457,i,r,y,MOT,I
166,1496458,1496863,i,r,y,MOT,I
167,1496864,1497422,i,r,y,MOT,I
168,1497423,1499779,Icabod,r,y,MOT,Icabod
169,1506248,1510123,J,r,y,MOT,J
170,1510124,1510847,j,r,y,MOT,J
171,1510848,1512170,j,r,y,MOT,J
172,1512171,1514265,jelly+jar,r,y,MOT,jar
173,1514266,1515129,jam,r,y,MOT,jam
174,1521470,1522506,K,r,y,MOT,K
175,1522507,1523256,k,r,y,MOT,K
176,1523257,1523845,kitten,r,y,MOT,kitten
177,1523846,1524633,kangaroo,r,y,MOT,kangaroo
178,1524634,1525903,kettle,r,y,MOT,kettle
179,1525904,1526432,kite,r,y,MOT,kite
180,1526433,1528361,kerchoo,r,y,MOT,kerchoo
181,1528843,1531571,kettle,r,y,MOT,kettle
182,1531572,1532608,kite,r,y,MOT,kite
183,1532609,1534569,kerchoo,r,y,MOT,kerchoo
184,1534570,1535674,L,r,y,MOT,L
185,1535675,1536329,l,r,y,MOT,L
186,1536330,1537576,Little+Lola+Lopp,r,y,MOT,Little+Lola+Lopp
187,1537577,1538905,leg,r,y,MOT,leg
188,1538906,1539873,lion,r,y,MOT,lion
189,1539874,1541446,lollipop,r,y,MOT,lollipop
190,1546357,1548061,L,d,n,MOT,L
191,1549791,1551371,M,r,y,MOT,M
192,1551372,1552131,m,r,y,MOT,M
193,1552132,1553827,mice,r,y,MOT,mouse
194,1555266,1556442,moonlight,r,y,MOT,moon
195,1560236,1564095,N,r,y,MOT,N
196,1564096,1564818,n,r,y,MOT,N
197,1566163,1567866,neckties,r,y,MOT,necktie
198,1567867,1568870,nightshirt,r,y,MOT,nightshirt
199,1568871,1569746,nose,r,y,MOT,nose
200,1571105,1574655,O,r,y,MOT,O
201,1576884,1578527,ostrich,r,y,MOT,ostrich
202,1578528,1580843,owl,r,y,MOT,owl
203,1580844,1584656,A,r,y,MOT,A
204,1584657,1585011,B,r,y,MOT,B
205,1585012,1585260,C,r,y,MOT,C
206,1585261,1585401,D,r,y,MOT,D
207,1585402,1585565,E,r,y,MOT,E
208,1585566,1585856,F,r,y,MOT,F
209,1585857,1586010,G,r,y,MOT,G
210,1586011,1586653,H,r,y,MOT,H
211,1586654,1586853,I,r,y,MOT,I
212,1586854,1587186,J,r,y,MOT,J
213,1587187,1587274,K,r,y,MOT,K
214,1587275,1587542,L,r,y,MOT,L
215,1587543,1587678,M,r,y,MOT,M
216,1587679,1587789,N,r,y,MOT,N
217,1587790,1588030,O,r,y,MOT,O
218,1588031,1589976,P,r,y,MOT,P
219,1589977,1593317,pajamas,r,y,MOT,pajamas
220,1593318,1595220,pail,r,y,MOT,pail
221,1593318,1595221,policeman,r,y,MOT,policeman
222,1595221,1597212,puppy,r,y,MOT,puppy
223,1597213,1599725,pail,r,y,MOT,pail
224,1602606,1604489,Q,r,y,MOT,Q
225,1604490,1605324,q,r,y,MOT,Q
226,1605325,1606874,q,r,y,MOT,Q
227,1606875,1608480,Queen+of+Quincy,r,y,MOT,Queen+of+Quincy
228,1608481,1610016,quacker+oo,r,y,MOT,quacker+oo
229,1613256,1614681,R,r,y,MOT,R
231,1614257,1621534,red+rhinoceros,r,y,MOT,rhinoceros
230,1614257,1621534,Rosy,r,y,MOT,Rosy
232,1614682,1615404,r,r,y,MOT,R
233,1615405,1617200,Rosy+Robin+Ross,r,y,MOT,Rosy+Robin+Ross
234,1621482,1623229,R,n,y,MOT,R
235,1629884,1631091,S,r,y,MOT,S
236,1631092,1631943,s,r,y,MOT,S
237,1631944,1633446,Silly+Sammy+Slick,r,y,MOT,Silly+Sammy+Slick
238,1633447,1635489,sodas,r,y,MOT,soda
239,1642501,1643686,T,r,y,MOT,T
240,1643687,1644274,T,r,y,MOT,T
241,1644275,1644717,t,r,y,MOT,T
242,1644718,1645320,t,r,y,MOT,T
243,1645321,1646452,T,r,y,MOT,T
245,1646453,1649481,turtles,r,y,MOT,turtle
244,1646453,1648024,tuttle+tuttle+tree,r,y,MOT,tuttle+tuttle+tree
246,1653882,1654633,U,r,y,MOT,U
247,1654634,1655383,u,r,y,MOT,U
248,1655384,1656529,U,r,y,MOT,U
249,1656530,1658221,umbrella,r,y,MOT,umbrella
250,1658222,1659911,underwear,r,y,MOT,underwear
251,1659912,1661800,Uncle+Ubb,n,y,MOT,Uncle+Ubb
252,1661801,1665694,Uncle+Ubb,n,y,MOT,Uncle+Ubb
253,1665695,1667235,V,r,y,MOT,V
254,1667236,1668140,v,r,y,MOT,V
256,1668141,1673687,Vera+Violet+Vinn,r,y,MOT,Vera+Violet+Vinn
255,1668141,1673686,violin,r,y,MOT,violin
257,1694359,1694967,W,r,y,MOT,W
258,1694968,1695375,W,r,y,MOT,W
259,1695376,1695842,w,r,y,MOT,W
260,1695843,1697393,Willy+Waterloo,r,y,MOT,Willy+Waterloo
261,1697394,1698821,Warren+Wiggins,r,y,MOT,Warren+Wiggins
262,1698822,1700645,Waldo+Woo,r,y,MOT,Waldo+Woo
263,1707381,1710940,Nixie+Knox,r,y,MOT,Nixie+Knox
264,1707381,1710941,X,r,y,MOT,X
266,1710941,1716422,ax,r,y,MOT,ax
265,1710941,1716421,fox,r,y,MOT,fox
267,1724389,1727736,Y,r,y,MOT,Y
268,1727737,1728500,y,r,y,MOT,Y
269,1728501,1730563,yak,r,y,MOT,yak
270,1730564,1735005,back,r,y,MOT,back
271,1730564,1735006,Yolanda+Yorgenson,r,y,MOT,Yolanda+Yorgenson
272,1735006,1738092,A,r,y,MOT,A
273,1738093,1738431,B,r,y,MOT,B
274,1738432,1738507,C,r,y,MOT,C
275,1738508,1738709,D,r,y,MOT,D
276,1738710,1738924,E,r,y,MOT,E
277,1738925,1739320,F,r,y,MOT,F
278,1739321,1739610,G,r,y,MOT,G
279,1739611,1740030,H,r,y,MOT,H
280,1740031,1740300,I,r,y,MOT,I
281,1740301,1740443,J,r,y,MOT,J
282,1740444,1740691,K,r,y,MOT,K
283,1740692,1740906,L,r,y,MOT,L
284,1740907,1741010,M,r,y,MOT,M
285,1741011,1741161,N,r,y,MOT,N
286,1741162,1741275,O,r,y,MOT,O
287,1741276,1741411,P,r,y,MOT,P
288,1741412,1741883,Q,r,y,MOT,Q
289,1741884,1742178,R,r,y,MOT,R
290,1742179,1742467,S,r,y,MOT,S
291,1742468,1742693,T,r,y,MOT,T
292,1742694,1742949,U,r,y,MOT,U
293,1742950,1743175,V,r,y,MOT,V
294,1743176,1744227,W,r,y,MOT,W
295,1744228,1744563,X,r,y,MOT,X
296,1744564,1745021,Y,r,y,MOT,Y
297,1745022,1748887,Z,r,y,MOT,Z
298,1749846,1751209,Z,r,y,MOT,Z
299,1751210,1751864,z,r,y,MOT,Z
300,1751865,1753715,Z,r,y,MOT,Z
301,1756415,1760925,Zizzer+Zazzer+Zuzz,r,y,MOT,Zizzer+Zazzer+Zuzz
302,1774074,1778299,A,r,y,MOT,A
303,1778300,1779921,B,r,y,MOT,B
304,1779922,1780805,C,r,y,MOT,C
305,1783979,1785648,letters,q,y,MOT,NA
306,1787909,1790171,A,n,y,MOT,A
307,1790172,1792782,A,n,y,MOT,A
308,1792783,1794352,A,n,y,MOT,A
309,1794353,1795992,2,d,n,MOT,2
310,1797561,1802028,B,n,y,MOT,B
311,1802976,1805218,C,n,y,MOT,C
312,1805219,1806213,A,r,y,MOT,A
313,1806214,1806870,B,r,y,MOT,B
314,1806871,1807789,C,r,y,MOT,C
315,1934221,1937601,cookie,q,n,MOT,cookie
317,2007040,2009481,girl,d,y,MOT,girl
316,2007040,2009480,sweater,d,y,MOT,sweater
318,2308115,2311205,camera,n,y,MOT,camera
319,2346597,2350997,froggy,d,y,MOT,froggy
320,2364851,2368972,froggy,q,y,MOT,froggy
322,2484845,2490999,ceiling,q,n,MOT,ceiling
321,2484845,2490999,geeling,q,n,MOT,geeling
324,2491000,2495452,curtain,d,n,MOT,curtain
323,2491000,2495452,jertain,q,n,MOT,jertain
325,2504461,2507250,lamp,r,n,MOT,lamp
326,2504461,2507250,zamp,r,n,MOT,zamp
328,2507251,2509730,nink,r,n,MOT,nink
327,2507251,2509730,sink,r,n,MOT,sink
330,2509731,2511886,closet,r,n,MOT,closet
329,2509731,2511886,woset,r,n,MOT,woset
332,2511887,2516320,curtain,r,n,MOT,curtain
331,2511887,2516320,jertain,r,n,MOT,jertain
334,2516321,2519946,clock,r,n,MOT,clock
333,2516321,2519946,tock,r,n,MOT,NA
335,2516321,2519946,zlock,r,n,MOT,zlock
336,2533819,2536236,page,q,n,MOT,page
337,2536237,2539387,page,q,n,MOT,page
339,2539388,2542759,nink,r,n,MOT,nink
338,2539388,2542759,sink,r,n,MOT,sink
341,2542760,2544437,closet,r,n,MOT,closet
340,2542760,2544437,woset,r,n,MOT,woset
342,2554477,2556367,umbrella,d,n,MOT,umbrella
344,2561744,2568395,clock,r,n,MOT,clock
343,2561744,2568395,zlock,r,n,MOT,zlock
345,2647157,2649778,paper,d,y,MOT,paper
346,2652947,2656384,paper,d,y,MOT,paper
347,2670407,2672298,nink,q,n,MOT,nink
